Match_ID,Team,Shooter_Foot,Keeper_Dive,Kick_Placement,Is_Goal,Kick_Number,Shooter_Name
M-1990-41,IRL,Unknown,Unknown,-1.0,1,,David O'Leary
M-1990-41,ROU,Unknown,Unknown,-1.0,1,,Gheorghe Hagi
M-1990-41,ROU,Unknown,Unknown,-1.0,1,,Dănuț Lupu
M-1990-41,ROU,Unknown,Unknown,-1.0,1,,Iosif Rotariu
M-1990-41,ROU,Unknown,Unknown,-1.0,1,,Ioan Lupescu
M-1990-41,ROU,Unknown,Unknown,-1.0,0,,Daniel Timofte
M-1990-45,ARG,Unknown,Unknown,-1.0,1,,José Serrizuela
M-1990-45,ARG,Unknown,Unknown,-1.0,1,,Jorge Burruchaga
M-1990-45,ARG,Unknown,Unknown,-1.0,0,,Diego Maradona
M-1990-45,ARG,Unknown,Unknown,-1.0,0,,Pedro Troglio
M-1990-45,ARG,Unknown,Unknown,-1.0,1,,Gustavo Dezotti
M-1990-45,YUG,Unknown,Unknown,-1.0,0,,Dragan Stojković
M-1990-45,YUG,Unknown,Unknown,-1.0,1,,Robert Prosinečki
M-1990-45,YUG,Unknown,Unknown,-1.0,1,,Dejan Savićević
M-1990-45,YUG,Unknown,Unknown,-1.0,0,,Dragoljub Brnović
M-1990-45,YUG,Unknown,Unknown,-1.0,0,,Faruk Hadžibegić
M-1990-49,ARG,Unknown,Unknown,-1.0,1,,José Serrizuela
M-1990-49,ARG,Unknown,Unknown,-1.0,1,,Jorge Burruchaga
M-1990-49,ARG,Unknown,Unknown,-1.0,1,,Julio Olarticoechea
M-1990-49,ARG,Unknown,Unknown,-1.0,1,,Diego Maradona
M-1990-49,ITA,Unknown,Unknown,-1.0,1,,Franco Baresi
M-1990-49,ITA,Unknown,Unknown,-1.0,1,,Roberto Baggio
M-1990-49,ITA,Unknown,Unknown,-1.0,1,,Luigi De Agostini
M-1990-49,ITA,Unknown,Unknown,-1.0,0,,Roberto Donadoni
M-1990-49,ITA,Unknown,Unknown,-1.0,0,,Aldo Serena
M-1990-50,DEU,Unknown,Unknown,-1.0,1,,Andreas Brehme
M-1990-50,DEU,Unknown,Unknown,-1.0,1,,Lothar Matthäus
M-1990-50,DEU,Unknown,Unknown,-1.0,1,,Karl-Heinz Riedle
M-1990-50,DEU,Unknown,Unknown,-1.0,1,,Olaf Thon
M-1990-50,ENG,Unknown,Unknown,-1.0,1,,Gary Lineker
M-1990-50,ENG,Unknown,Unknown,-1.0,1,,Peter Beardsley
M-1990-50,ENG,Unknown,Unknown,-1.0,1,,David Platt
M-1990-50,ENG,Unknown,Unknown,-1.0,0,,Stuart Pearce
M-1990-50,ENG,Unknown,Unknown,-1.0,0,,Chris Waddle
